layer,benign_entropy,malicious_entropy
base_model.model.model.layers.0.self_attn.k_proj,2.3700348140733514,2.378844051018795
base_model.model.model.layers.0.self_attn.o_proj,2.4768879315654235,2.3993040290639844
base_model.model.model.layers.0.self_attn.q_proj,2.4767372609511313,2.464564564484492
base_model.model.model.layers.0.self_attn.v_proj,2.5358330036637358,2.520515348824143
base_model.model.model.layers.1.self_attn.k_proj,2.4998752970257963,2.4659993947357592
base_model.model.model.layers.1.self_attn.o_proj,1.9895593792407875,2.052267039364388
base_model.model.model.layers.1.self_attn.q_proj,2.556329097036144,2.422180566423477
base_model.model.model.layers.1.self_attn.v_proj,2.5762009504135794,2.483007724300256
base_model.model.model.layers.10.self_attn.k_proj,2.5110550565009846,2.439317864256898
base_model.model.model.layers.10.self_attn.o_proj,2.5996233162897635,2.4603066583669246
base_model.model.model.layers.10.self_attn.q_proj,2.55317452228632,2.556940995049629
base_model.model.model.layers.10.self_attn.v_proj,2.478955884481943,2.316574581233695
base_model.model.model.layers.11.self_attn.k_proj,2.4737452612732693,2.3372423290176627
base_model.model.model.layers.11.self_attn.o_proj,2.5122377461606655,2.477120668066328
base_model.model.model.layers.11.self_attn.q_proj,2.590995644457432,2.5379260909920194
base_model.model.model.layers.11.self_attn.v_proj,2.5674577508112244,2.5234008160227064
base_model.model.model.layers.12.self_attn.k_proj,2.4911934666324678,2.360061479855315
base_model.model.model.layers.12.self_attn.o_proj,2.544988688369839,2.503459176986229
base_model.model.model.layers.12.self_attn.q_proj,2.620919516650359,2.544206840007428
base_model.model.model.layers.12.self_attn.v_proj,2.4492677222227135,2.3139221372125474
base_model.model.model.layers.13.self_attn.k_proj,2.4952061952345685,2.4034541423929787
base_model.model.model.layers.13.self_attn.o_proj,2.5536436357052676,2.5483150849441385
base_model.model.model.layers.13.self_attn.q_proj,2.474251254390449,2.5621174179363724
base_model.model.model.layers.13.self_attn.v_proj,2.5858203983301062,2.549535577502602
base_model.model.model.layers.14.self_attn.k_proj,2.531724646016699,2.4394550791665934
